LocationID,Borough,zone,service_zone,latitude,longitude
1,EWR,Newark Airport,EWR,40.68906405,-74.17725485035348
2,Queens,Jamaica Bay,Boro Zone,40.6039936,-73.8354124
3,Bronx,Allerton,Boro Zone,39.915319,-87.93321507559128
4,Manhattan,Alphabet City,Yellow Zone,40.7251022,-73.9795833
5,Staten Island,Arden Heights,Boro Zone,53.2843196,-7.492801
6,Staten Island,Arrochar,Boro Zone,56.1954653,-4.7480746
7,Queens,Astoria,Boro Zone,46.1882007,-123.8319802
8,Queens,Astoria Park,Boro Zone,33.8241622,-78.8918751
9,Queens,Auburndale,Boro Zone,28.0653422,-81.7888642
10,Queens,Baisley Park,Boro Zone,42.2038609,-83.1731182
11,Brooklyn,Bath Beach,Boro Zone,40.6018495,-74.000501
12,Manhattan,Battery Park,Yellow Zone,40.702786,-74.01577307510607
13,Manhattan,Battery Park City,Yellow Zone,40.7110166,-74.0169369
14,Brooklyn,Bay Ridge,Boro Zone,40.6320062,-74.0232101
15,Queens,Bay Terrace,Boro Zone,40.5552778,-74.1341667
16,Queens,Bayside,Boro Zone,40.7684351,-73.7770774
17,Brooklyn,Bedford,Boro Zone,40.0271453,-78.5237447
18,Bronx,Bedford Park,Boro Zone,41.7690519,-87.7770096
19,Queens,Bellerose,Boro Zone,40.7242205,-73.7164845
20,Bronx,Belmont,Boro Zone,48.4095949,7.234863
21,Brooklyn,Bensonhurst East,Boro Zone,,
22,Brooklyn,Bensonhurst West,Boro Zone,,
23,Staten Island,Bloomfield,Boro Zone,40.7510398,-92.4143872
24,Manhattan,Bloomingdale,Yellow Zone,41.9575285,-88.0809036
25,Brooklyn,Boerum Hill,Boro Zone,40.68562615,-73.98417065807277
26,Brooklyn,Borough Park,Boro Zone,40.633993,-73.9968059
27,Queens,Breezy Point,Boro Zone,46.6166305,-94.2169351
28,Queens,Briarwood,Boro Zone,38.2781258,-85.5930164
29,Brooklyn,Brighton Beach,Boro Zone,40.57964365,-73.96111022551311
30,Queens,Broad Channel,Boro Zone,40.6064008,-73.81901879728136
31,Bronx,Bronx Park,Boro Zone,40.8588468,-73.87590377196466
32,Bronx,Bronxdale,Boro Zone,40.8506558,-73.8665241
33,Brooklyn,Brooklyn Heights,Boro Zone,40.696084850000005,-73.9950278391265
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.6997716,-73.9753359
35,Brooklyn,Brownsville,Boro Zone,25.9024289,-97.4981698
36,Brooklyn,Bushwick North,Boro Zone,40.7857701,-73.0240088
37,Brooklyn,Bushwick South,Boro Zone,40.6942867,-73.92588360783884
38,Queens,Cambria Heights,Boro Zone,40.6945474,-73.7384653
39,Brooklyn,Canarsie,Boro Zone,40.643715,-73.9006921
40,Brooklyn,Carroll Gardens,Boro Zone,40.6784201,-73.9948021
41,Manhattan,Central Harlem,Boro Zone,22.92109965,-83.19403675174992
42,Manhattan,Central Harlem North,Boro Zone,,
43,Manhattan,Central Park,Yellow Zone,40.7827725,-73.9653627406542
44,Staten Island,Charleston,Boro Zone,32.7884363,-79.9399309
45,Manhattan,Chinatown,Yellow Zone,40.7164913,-73.9962504
46,Bronx,City Island,Boro Zone,40.84743325,-73.78642953814102
47,Bronx,Claremont,Boro Zone,34.0966764,-117.7197785
48,Manhattan,Clinton East,Yellow Zone,36.1034126,-84.1318632
49,Brooklyn,Clinton Hill,Boro Zone,40.6897222,-73.9652778
50,Manhattan,Clinton West,Yellow Zone,42.4216985,-71.6884589
51,Bronx,Co-Op City,Boro Zone,40.8738889,-73.8294444
52,Brooklyn,Cobble Hill,Boro Zone,40.687547,-73.9973352
53,Queens,College Point,Boro Zone,40.7876014,-73.8459682
54,Brooklyn,Columbia Street,Boro Zone,40.8718418,-85.4901843
